fullVisitorId,totalRevenue
849161684199944498,50380000.0
7187192533100162289,18230000.0
1447279966112382026,56090000.0
3371421134809281185,28930000.0
4954404706370546472,24980000.0
9549826748224805897,15190000.0
4293841073200012958,10590000.0
1881458907401964229,304710000.0
4755168908070236728,63840000.0
852373578529854535,42940000.0
3794016165791476291,117340000.0
6712520540378436905,33670000.0
943945152769904281,83180000.0
1572225825161580042,57300000.0
016787854108283646,62710000.0
113560599620525482,47700000.0
5915581399835793502,122190000.0
1061090985384136368,97180000.0
0314733033105141755,43710000.0
1095886019324498043,305470000.0
6045930241388777741,81500000.0
4716737341148415941,42000000.0
3287935319409551745,83180000.0
0643132668463442280,25680000.0
3351538799616866750,8380000.0
1776658355119092313,395730000.0
8885051388942907862,523790000.0
0185467632009737931,26250000.0
1810825910197739134,15390000.0
770431600902969839,200140000.0
1617947618176891753,10690000.0
7406976187075316319,18960000.0
3244885836845029978,1148300000.0
7889233516776348524,12310000.0
7147112211830167925,35480000.0
8007300615127214527,35390000.0
6194193421514403509,37860000.0
2030041108522427486,13590000.0
6664733704830724714,35080000.0
309482894121265066,1181250000.0
8530613607503742741,15980000.0
8377259727591618279,10390000.0
3700714855829972615,326930000.0
1546626226233851002,546320000.0
9340341966296957897,790210000.0
5327166854580374902,306670000.0
8585031285178547027,5150000.0
5774144420048753588,8490000.0
7895381041766747549,13590000.0
9291001063810206156,9120000.0
8516473451212465925,339030000.0
1710046532262949205,747360000.0
3741689406060673010,90850000.0
1505936082836608918,71760000.0
4281040191770206312,35150000.0
6253907950302062343,285620000.0
0960484403338128999,168680000.0
5097087346105463693,1023010000.0
8169242395174514673,254840000.0
747690048733385763,34480000.0
3152246617474456269,689610000.0
6421960756925082099,42970000.0
0115940065332308119,109150000.0
2840155464434051520,28780000.0
0750845334721949296,298760000.0
0608915197735218105,3036300000.0
9549089852095378957,85430000.0
3517667571922875880,134750000.0
6388824250276633832,95940000.0
4127513140005445280,13590000.0
2923583380085498492,44790000.0
4290831302541966980,24990000.0
3945894443419413506,22970000.0
4962088874496440474,55990000.0
7545575276027340424,1990000.0
2658678838785413275,31490000.0
9429712068285188439,57580000.0
4064008221273566105,47170000.0
4033167138991049828,18990000.0
6739930820441913668,13950000.0
664683919239436389,7990000.0
4262513756531099314,99960000.0
2099864407370022116,113520000.0
1627208831212925916,30390000.0
